Camila Vieira,"Design, Comunicação, Redes Sociais",Fundadora @ Idea Fixa,br.linkedin.com/in/camilavieira/en,SP
Carla Mayumi,"Pesquisa, Comportamento, Cool Hunting",Chief Innovation Office @ Box1824,br.linkedin.com/in/cmayumi/pt,SP
Carla Purcino,Planejamento,Planejamento @ Wunderman,br.linkedin.com/pub/carla-purcino/10/813/8/pt,SP
Carolina Terra,"Comunicação Corporativa, Social Media, PR",Professora Comunicação Digital @ USP,br.linkedin.com/in/carolinaterra/en,SP
Carol Althaller,"Tendências, Pesquisa, Comportamento, Cool Hunting",Analista Cultural,br.linkedin.com/in/carolalt,SP
Carol T. Moré,"Curadoria de conteúdo, redes sociais, blogs, internet ",Blogger @ Follow The Collors,https://www.linkedin.com/profile/view?id=225032384&trk=hp-identity-photo,SP
Carol Patrocinio,"Sexualidade, feminismo, direitos humanos, questões de gênero, maternidade, social media, jornalismo","Colunista no Yahoo!, Editora-chefe na New Content",br.linkedin.com/in/carolpatrocinio,SP
Carolina Zaine,"Socal Media, Digital, Gestão",Sócia @ Vert Inteligência Digital,br.linkedin.com/pub/carolina-zaine/12/221/570/pt,SP
Chiara Martini,"Marcas de cerveja + mulheres, Mídia, Conteúdo",Strategy Director @ DDB NY,br.linkedin.com/in/chiaramartini/pt,SP
Cinara Moura,"Planejamento, Conteúdo, Gestão de Equipes",Gerente de Social Media @ AG2 Nurun,br.linkedin.com/in/mouracinara/pt,SP
Cíntia Costa,"Planejamento, Conteúdo, Social Media, Feminismo",Head of Social Media @ Versão Beta,br.linkedin.com/in/costacintia/pt,SP
Claudia Fusco,"Social Media, Conteúdo",Social Media @ Itaú,br.linkedin.com/in/claudiafusco/pt,SP
Clarissa Ramos,Monitoramento,Coordenadora de Monitoramento @ FSB,https://www.linkedin.com/profile/view?id=25949887,SP
Cris Camargo,Comitê de Igualdade de Gênero na Publicidade,Diretora Executiva @ IAB Brasil,https://br.linkedin.com/in/criscamargomkt,SP
Cristina Brand,"Tendências, Planejamento, Pesquisa",CEO @ Talk Inc Research,br.linkedin.com/pub/cristina-brand/3/28/432/pt,SP
Cristiane Pohlmann,"Comunicação Interna, Endomarketing",Executiva Atendimento Happy House Brasil,br.linkedin.com/in/cristianepohlmann,RS
Cristiane Schmidt,"Fotografia, Filmaking, Projetos Digitais, Craft",Fundadora @ ContinueCurioso,http://br.linkedin.com/in/cristianeschmidt,SP
Dani Arrais,"Empreendedorismo, Projetos Digitais",Fundadora @ Instamission & Contente,br.linkedin.com/pub/daniela-arrais/a8/a8b/71a/pt,SP
Dani Bogoricin,"Planejamento, Branding",Brand Strategist @ Twitter,https://www.linkedin.com/in/danibogoricin,SP
Daniela Bertocchi,"Conteúdo, Pesquisa, Mídia Digital",Diretora de Mídia Digital @ M de Mulher,br.linkedin.com/in/danielabertocchi/pt,SP
